Title,Singer,Time,Day,Mood,Traffic Suitability,Weather Suitability
Buy My Own Drinks,Runaway June,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
stay awake,dean lewis,evening song,weekday song,Sad,Suitable for traffic,Rainy and Overcast song
habits,nav,evening song,weekend song,Sad,Not suitable for traffic,Cold and Windy song
painkiller,Ruel,evening song,weekday song,Sad,Not suitable for traffic,Rainy and Overcast song
WAM,a$ap ferg,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
make up,ariana grande,evening song,weekday song,Neutral,Suitable for traffic,Warm and Sunny song
Ice (feat. Gunna & Lil Baby),Gucci Mane,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Draft Day,Drake,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
Dionysus,BTS,evening song,weekend song,Happy,Not suitable for traffic,Any weather
Before I Let Go,Beyoncé,evening song,weekend song,Happy,Suitable for traffic,Any weather
1 sided love,blackbear,evening song,weekday song,Very Sad,Suitable for traffic,Cold and Windy song
La La Land,Bryce Vine,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
"You Stay (feat. Meek Mill, J Balvin, Lil Baby & Jeremih)",DJ Khaled,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
humble beginnings,bazzi,evening song,weekday song,Neutral,Not suitable for traffic,Cold and Windy song
i.f.l.y.,bazzi,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
fallin (feat. 6lack),Bazzi,evening song,weekday song,Very Sad,Not suitable for traffic,Cold and Windy song
no way!,bazzi,evening song,weekend song,Very Happy,Not suitable for traffic,Warm and Sunny song
"thunderclouds (feat. sia, diplo, and labrinth)",sia,evening song,weekend song,Neutral,Suitable for traffic,Warm and Sunny song
100 Racks (Offset feat. Playboi Carti),Quality Control,evening song,weekday song,Very Happy,Not suitable for traffic,Warm and Sunny song
A Whole New World (End Title),Zayn,evening song,weekend song,Neutral,Not suitable for traffic,Warm and Sunny song
Speechless (Full),Naomi Scott,evening song,weekday song,Sad,Suitable for traffic,Cold and Windy song
Paradise,Bazzi,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
The Big Day,Chance the Rapper,evening song,weekend song,Very Happy,Suitable for traffic,Warm and Sunny song
Feels,Kehlani,afternoon song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Mount Everest,Labrinth,evening song,weekend song,Very Happy,Not suitable for traffic,Warm and Sunny song
Naeem,Bon Iver,evening song,weekend song,Sad,Suitable for traffic,Rainy and Overcast song
Let's Go on the Run,Chance the Rapper,evening song,weekday song,Happy,Not suitable for traffic,Warm and Sunny song
Don't Throw It Away,Jonas Brothers,evening song,weekday song,Sad,Not suitable for traffic,No specific suitability
Strangers,Jonas Brothers,evening song,weekend song,Happy,Suitable for traffic,No specific suitability
Dead Man Walking,Quality Control,evening song,weekend song,Very Happy,Not suitable for traffic,Warm and Sunny song
Started,Iggy Azalea,evening song,weekend song,Very Sad,Not suitable for traffic,Any weather
Virgil,Quality Control,evening song,weekend song,Very Sad,Not suitable for traffic,Warm and Sunny song
Superposition,Daniel Caesar,evening song,weekend song,Neutral,Suitable for traffic,No specific suitability
Crushed Up,Future,evening song,weekend song,Sad,Suitable for traffic,Any weather
anti-everything,lost kings,evening song,weekend song,Very Sad,Not suitable for traffic,Warm and Sunny song
"Leave Em Alone (Layton Greene, Lil Baby Feat. City Girls, PNB Rock)",Quality Control,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
paranoid,russ,evening song,weekday song,Sad,Not suitable for traffic,Cold and Windy song
El Diablo,Machine Gun Kelly,evening song,weekday song,Happy,Not suitable for traffic,Warm and Sunny song
i get lonely,Drake,evening song,weekend song,Very Sad,Suitable for traffic,Rainy and Overcast song
back on,quality control,evening song,weekend song,Very Happy,Not suitable for traffic,Cold and Windy song
Head Above Water,Avril Lavigne,evening song,weekend song,Sad,Not suitable for traffic,Rainy and Overcast song
roo,Chance The Rapper,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
Insomnia,Daya,evening song,weekday song,Sad,Not suitable for traffic,Warm and Sunny song
"no new friends (feat. sia, diplo, and labrinth)",sia,evening song,weekend song,Happy,Suitable for traffic,Rainy and Overcast song
"1993 (with j. cole, jid, cozz & earthgang feat. smino & buddy)",dreamville,evening song,weekday song,Very Sad,Not suitable for traffic,Cold and Windy song
Rich Game,Gucci Mane,evening song,weekday song,Very Sad,Not suitable for traffic,Cold and Windy song
Paris Morton Music,Drake,evening song,weekend song,Neutral,Not suitable for traffic,No specific suitability
all the good girls go to hell,billie eilish,evening song,weekend song,Sad,Not suitable for traffic,Rainy and Overcast song
Megatron,Nicki Minaj,evening song,weekend song,Very Happy,Not suitable for traffic,Warm and Sunny song
candy (feat. trippie redd),machine gun kelly,evening song,weekday song,Sad,Not suitable for traffic,No specific suitability
i don't belong in this club,why don't we,evening song,weekday song,Sad,Suitable for traffic,Rainy and Overcast song
Mad Love,Mabel,evening song,weekday song,Neutral,Suitable for traffic,Any weather
Piece of Your Heart,Meduza,evening song,weekend song,Sad,Not suitable for traffic,Rainy and Overcast song
Takeaway,The Chainsmokers,evening song,weekday song,Very Sad,Not suitable for traffic,Warm and Sunny song
Talk,Khalid,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
It's You,Ali Gatie,evening song,weekday song,Sad,Not suitable for traffic,Cold and Windy song
You Need to Calm Down,Taylor Swift,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
